symbol,direction,pnl,winner,score,result,sig_adx,sig_dist_ema_atr,sig_rsi,sig_bb_percent,sig_macd_hist_slope,sig_vol_ratio,sig_atr_rank,sig_donchian_pos
ETH/USDT,SHORT,192.4394349611239,1,7.0,TP,39.584988992532054,-1.2716066619656754,14.444756291514352,0.2405541570506883,0.09639379857964316,1.2059665983256076,0.68,0.11152969168236355
ETH/USDT,SHORT,-98.57806273511842,0,7.0,SL,39.661186513276675,-1.5626720489385983,36.51335391949719,0.3115189313229087,0.0709162058740652,0.3592710563118285,0.95,0.25973615609447614
ETH/USDT,LONG,-97.5551521913766,0,6.0,SL,60.914412993861696,2.108576738802042,66.36456327177987,0.8638434581066524,-0.09198422016138522,0.6191471511781202,0.49,0.8144386494647274
ETH/USDT,LONG,10.033260997619365,1,6.0,BREAK_EVEN,34.95710799581784,1.9779580471966072,44.7280408378808,0.7996034301444204,0.16980653421622818,1.580477982498373,0.23,0.4790262986307341
ETH/USDT,LONG,-96.53204262546444,0,8.0,SL,55.69133505383671,2.3276883800175723,63.995035020835054,1.0720139991568445,-0.032341391587960955,2.2577154004693356,0.82,0.900052420059405
ETH/USDT,SHORT,189.74348028193222,1,6.0,TP,47.899624937189365,-1.4211712567486832,36.50302796031445,0.3629815318316599,0.21866551614095384,0.7580139258693925,0.23,0.21156121984524584
ETH/USDT,SHORT,-97.3342781618546,0,7.0,SL,49.390704971956566,-2.980718857648711,33.25491873396055,0.12272989013263638,0.008298807765348562,1.2237854685480973,0.43,0.22285318559556905
ETH/USDT,SHORT,-96.3010576593155,0,8.0,SL,35.99386927846369,-2.248659377824369,44.19119455603831,0.09207326512082815,-0.3952743102257913,2.654469901865977,0.85,0.2259715115474997
ETH/USDT,LONG,-95.27913933349963,0,6.0,SL,25.896424853667153,0.8494330781648813,62.14296624408115,0.7177025100415366,-0.1693014813047084,0.38682084778289,0.79,0.7376378733424209
ETH/USDT,SHORT,187.55817098476862,1,7.0,TP,29.926880749147255,-2.144296097210579,26.263529832722085,0.06450548705734864,-0.2041681168774192,1.8629090237071873,0.72,0.09166871467190989
ETH/USDT,SHORT,190.82792668384877,1,7.0,TP,68.34371593984422,-4.198681015097311,36.32158590308324,0.3917246716385168,0.16474816568839354,0.19866356110859884,0.04,0.2877447425670739
ETH/USDT,SHORT,-97.93304909816399,0,8.0,SL,60.98423194175131,-3.708219245328526,45.25650697849872,0.26764412655079295,-0.11849942664717496,1.8713691039327334,0.61,0.15482872072769477
ETH/USDT,SHORT,9.288163348762223,1,8.0,TP,34.64356049229527,-2.4119893250080455,28.4937397242947,-0.2494432059772048,-0.09957380430897682,2.8601267303189406,0.29,0.27215189873417117
ETH/USDT,SHORT,-96.90949139957398,0,7.0,SL,81.62833865146709,-4.212396075747009,35.78790344453499,0.34963711488184623,0.27352114569977787,1.313450826071513,0.15,0.31700365191057345
ETH/USDT,LONG,-95.86943780903245,0,6.0,SL,77.79075235918958,1.298744218444735,67.97283584419638,0.6543188777651063,-0.15602675409268052,0.2525588772640283,0.82,0.7507570659488586
ETH/USDT,SHORT,-94.86353709835194,0,7.0,SL,36.37497215120268,-0.4375932030285434,35.794037940379525,0.3023044821444216,0.10363421278242582,0.8903984898383965,0.49,0.2852419074138507
ETH/USDT,LONG,-93.85205740969862,0,6.0,SL,41.30262013649127,1.3589589657959977,61.6239580117319,0.8486659541926087,0.28948697985194893,1.800998257851717,0.61,0.7442857142857113
ETH/USDT,SHORT,184.84387727714284,1,8.0,TP,40.728012442633656,-1.563656404638109,45.79515558377935,0.06953038744893587,-0.2885638392514057,1.8995570789297436,0.89,0.09073272645873674
ETH/USDT,SHORT,-94.65803679434235,0,7.0,SL,65.48484666551288,-4.019113166404172,33.383121732636326,0.28700716512400964,0.2084778363764551,0.42572067748673703,0.63,0.21293023255814048
ETH/USDT,SHORT,185.76952717965557,1,7.0,TP,48.528201285432814,-1.1715434344424684,37.60968760968766,0.2895899757114466,0.17713360907042966,1.9988922837102368,0.4,0.32153249272550893
ETH/USDT,SHORT,189.94829244156043,1,6.0,TP,39.734771645027365,-1.8052899838559282,42.249211941405534,0.06992162548698574,-0.1088335319006429,1.915834796388404,0.75,0.24840989399293228
ETH/USDT,SHORT,194.10175901346528,1,7.0,TP,89.45710494612719,-2.7302363126006086,37.50755104506468,0.3296389709385034,0.1451176575929282,1.0256507150043856,0.94,0.33858409199808315
ETH/USDT,SHORT,198.01647954558263,1,7.0,TP,48.714384547415065,-2.0228079608292155,40.36112761602956,0.34747326871847156,-0.016096756533157973,1.1807106337296513,0.99,0.5231241822629277
